贵阳,"{'2007': 14.745000000000001, '2008': 14.985, '2009': 17.154166666666665, '2010': 19.106666666666666, '2011': 19.23333333333333, '2012': 21.39916666666667, '2013': 23.77416666666667, '2014': 24.276666666666667, '2015': 24.367500000000003, '2016': 22.992499999999996, '2017': 21.584999999999997}"
海口,"{'2007': 16.2075, '2008': 17.95, '2009': 17.410833333333333, '2010': 22.164166666666663, '2011': 24.09, '2012': 24.829166666666666, '2013': 25.816666666666663, '2014': 26.616666666666664, '2015': 26.3475, '2016': 25.799166666666665, '2017': 29.198333333333334}"
昆明,"{'2007': 12.015, '2008': 13.013333333333334, '2009': 14.532499999999999, '2010': 19.92, '2011': 21.998333333333335, '2012': 23.264166666666668, '2013': 24.779166666666665, '2014': 25.320833333333336, '2015': 25.316666666666666, '2016': 24.209166666666665, '2017': 23.769166666666663}"
银川,"{'2007': [], '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
郑州,"{'2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
呼和浩特,"{'2008': 10.101818181818182, '2009': 10.699166666666668, '2010': 12.078333333333333, '2011': 14.72333333333333, '2012': 16.994166666666665, '2013': 20.339166666666667, '2014': 21.566666666666666, '2015': 20.492500000000003, '2016': 19.274999999999995, '2017': 19.5125}"
杭州,"{'2008': 26.048000000000002, '2009': 32.544999999999995, '2010': 33.339166666666664, '2011': 34.778333333333336, '2012': 36.346666666666664, '2013': 38.87583333333334, '2014': 40.07666666666666, '2015': 40.24833333333333, '2016': 41.53333333333333, '2017': 45.064166666666665}"
北京,"{'2008': 38.006666666666675, '2009': 38.75666666666666, '2010': 42.71, '2011': 50.1025, '2012': 57.87166666666666, '2013': 63.2525, '2014': 63.32916666666665, '2015': 64.59499999999998, '2016': 71.98333333333333, '2017': 75.50916666666666}"
西宁,"{'2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
拉萨,"{'2012': 15.787, '2013': 19.255000000000003, '2014': 23.80666666666667, '2015': 23.689166666666665, '2016': 24.028333333333332, '2017': 26.075}"
