,2007/1/1,2007/2/1,2007/3/1,2007/4/1,2007/5/1,2007/6/1,2007/7/1,2007/8/1,2007/9/1,2007/10/1,2007/11/1,2007/12/1,2008/1/1,2008/2/1,2008/3/1,2008/4/1,2008/5/1,2008/6/1,2008/7/1,2008/8/1,2008/9/1,2008/10/1,2008/11/1,2008/12/1,2009/1/1,2009/2/1,2009/3/1,2009/4/1,2009/5/1,2009/6/1,2009/7/1,2009/8/1,2009/9/1,2009/10/1,2009/11/1,2009/12/1,2010/1/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2010/10/1,2010/11/1,2010/12/1,2011/1/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/1,2011/11/1,2011/12/1,2012/1/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2012/10/1,2012/11/1,2012/12/1,2013/1/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2013/10/1,2013/11/1,2013/12/1,2014/1/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵阳,15853.35787,15794.70184,15741.72219,15683.06616,15626.30226,15567.64623,15510.88233,15452.2263,15393.57027,15336.80637,14880,16712,13487,15628,14538,15836,14895,14639,16144,13502,10224,11774,11735,11833,12942,16383,18840,16306,15096,14775,15756,16340,17268,16629,17507,16194,18404,16351,14631,17511,15223,14231,17234,12560,13812,10563,15007,18003,17881,17635,15399,27176,24325,22672,20310,23102,19399,22349,20687,23087,18705,20230,22251,21269,23632,26991,28181,24286,25737,24582,26810,22911,19084,23141,21392,24906,21006,15469,19924,23003,18876,22198,22879,26656,24916,22608,23641,21770,20329,23288,22842,19403,17830,18188,17431,19184,17563,17281,20138,19894,16914,16246,13655,14243,14946,14296,15029,14416,14100.04865,13847.96091,13595.87316,13360.04914,13107.9614,12864.00551,12611.91777,12367.96189,12115.87414,11863.78639,11619.83051,11367.74277,11123.78688,10871.69914,10619.61139,10391.91924,10139.83149,9895.875609,9643.787864,9399.831981,9147.744236,8895.65649,8651.700608,8399.612863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海口,770,780,790.8565063,1683.902962,2548.141467,3441.187923,4305.426428,5198.472884,6091.519339,6955.757844,5811,7334,11564,12778,12009,13994,11262,12554,11484,10571,10306,12597,11264,12656,14270,12467,15607,15749,19874,16496,16592,18553,15113,12940,11550,12646,9934,11736,13189,12413,12098,10975,11226,10934,15110,12899,11624,7398,17522,14995,16277,21141,20922,18281,17431,17425,18416,17476,16871,13754,14391,17580,16139,18813,16436,17792,18125,16691,16357,14591,14908,12552,12080,10711,16680,17074,17513,13954,14487,15211,11681,11238,15255,17596,16039,14344,16761,17261,15204,16067,13988,15271,14281,14424,14588,13276,12332,15318,17403,17787,16357,17342,17451,17832,19463,20204,19932,20328,20815.21594,21269.38631,21694.25537,22148.42574,22587.94545,23042.11582,23481.63553,23935.8059,24389.97627,24829.49599,25283.66636,25723.18607,26177.35644,26631.52681,27041.74521,27495.91558,27935.43529,28389.60566,28829.12537,29283.29574,29737.46611,30176.98583,30631.1562,31070.67591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州,21685.98844,21799.60248,21902.2216,22015.83563,22125.7847,22239.39873,22349.34779,22462.96182,22576.57585,22686.52492,21563,20372,23857,28576,23849,23763,19041,24499,27282,24294,21128,25122,25013,24507,27781,30262,26667,25482,26130,29575,32735,34178,29206,35567,34445,31412,32463,31101,31471,34084,30648,29152,27534,23521,26271,26958,28095,27483,32742,36902,33229,31125,29570,32521,30445,26610,29927,30230,26875,28539,26243,29003,31376,27014,29310,28103,25982,26189,26220,24847,23011,25371,22214,23845,24806,25285,23768,22938,25590,23695,24844,22786,24877,21606,25837,23652,22239,21473,21527,21228,21515,21087,21345,23811,25220,25461,26411,25405,28266,26585,25986,25808,25836,25751,27364,29700,29454,29013,30184.53334,30819.28131,31413.07781,32047.82578,32662.09801,33296.84599,33911.11822,34545.8662,35180.61417,35794.88641,36429.63438,37043.90661,37678.65459,38313.40256,38886.72332,39521.47129,40135.74352,40770.4915,41384.76373,42019.51171,42654.25968,43268.53191,43903.27989,44517.55212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长沙,1170,1170,1190,1200,1287.696587,2381.42302,3439.867955,4533.594389,5627.320822,6685.765757,7779.49219,11005,7773,9216,14022,13365,12760,16340,15755,13230,15999,13289,15224,16656,22692,15160,15197,18977,16882,15281,19461,18466,20276,22235,21972,21473,23262,17945,19368,19209,20463,21757,20144,18488,22524,22104,19000,21841,24995,23786,21425,25001,28899,28230,24272,28135,26533,25147,27894,26586,25118,23482,24615,23990,22636,25732,24727,22637,24218,21374,23035,18232,20733,17893,20371,19702,19028,16235,16947,21096,18781,14648,14517,20719,20249,19782,16870,17510,15375,16050,13625,15969,14617,15859,15316,19659,15387,14575,17072,17488,20044,18770,16586,17271,17822,17455,19411,19807,18648.14831,18704.94938,18758.08586,18814.88693,18869.85571,18926.65678,18981.62556,19038.42663,19095.2277,19150.19648,19206.99755,19261.96633,19318.7674,19375.56847,19426.87266,19483.67374,19538.64251,19595.44358,19650.41236,19707.21343,19764.0145,19818.98328,19875.78435,19930.75313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呼和浩特,7635.350045,7644.344992,7545,7358,8486,7719,6913,8027,8052,9881,10187,9219,8901,11321,10137,10152,9626,8382,10372,9802,12005,11965,14470,11799,14393,11714,13218,12976,11658,11978,10202,9045,12006,12274,12801,12321,12000,14874,12422,14278,15569,15026,12958,12571,11799,14384,16727,16889,15764,17113,15765,14980,16060,16501,14538,14776,16035,9599,14067,7637,14798,10808,11910,12111,10711,10294,9078,7123,12145,8404,12183,14113,10246,10296,11051,7931,8964,7670,11247,11554,9352,9733,12306,11864,11146,10098,11544,12763,12357,11786,13155,14173,13822,13031,14162,13482,14267.23955,14497.06478,14704.64887,14934.4741,15156.88562,15386.71085,15609.12237,15838.9476,16068.77284,16291.18435,16521.00959,16743.42111,16973.24634,17203.07157,17418.06937,17647.89461,17870.30613,18100.13136,18322.54288,18552.36811,18782.19335,19004.60486,19234.4301,19456.84161,19686.66685,19916.49208,20124.07617,20353.9014,20576.31292,20806.13815,21028.54967,21258.3749,21488.20014,21710.61165,21940.43689,22162.84841
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兰州,17658.37116,16419.15825,15299.86918,14059,14303,9153,11010,9626,9852,10736,10158,10984,12675,11734,12469,12894,15903,10841,11031,10737,13700,12235,16439,14767,12614,13907,15313,13636,17320,17308,15288,11069,13159,16407,16808,19013,16115,16571,21992,19702,28043,23764,19051,20390,23475,23927,21649,22106,25711,20359,17974,24157,22680,23432,26942,21336,19079,12730,15518,11039,12540,11257,9097,8327,9509,14636,12991,11355,10076,9731,21341,22640,17447,15706,18578,20415,20131,16226,15112,16298,15060,14972,22402,25162,22116,19460,21286,23780,22433,21551,17599,17916,18636,18107,20324,19843,18372.63119,18107.41661,17867.86796,17602.65338,17345.99411,17080.77953,16824.12026,16558.90569,16293.69111,16037.03184,15771.81726,15515.15799,15249.94341,14984.72883,14736.62487,14471.4103,14214.75103,13949.53645,13692.87718,13427.6626,13162.44802,12905.78875,12640.57418,12383.91491,12118.70033,11853.48575,11613.9371,11348.72252,11092.06325,10826.84867,10570.1894,10304.97483,10039.76025,9783.100978,9517.8864,9261.227131
