,2007/1/1,2007/2/1,2007/3/1,2007/4/1,2007/5/1,2007/6/1,2007/7/1,2007/8/1,2007/9/1,2007/10/1,2007/11/1,2007/12/1,2008/1/1,2008/2/1,2008/3/1,2008/4/1,2008/5/1,2008/6/1,2008/7/1,2008/8/1,2008/9/1,2008/10/1,2008/11/1,2008/12/1,2009/1/1,2009/2/1,2009/3/1,2009/4/1,2009/5/1,2009/6/1,2009/7/1,2009/8/1,2009/9/1,2009/10/1,2009/11/1,2009/12/1,2010/1/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2010/10/1,2010/11/1,2010/12/1,2011/1/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/1,2011/11/1,2011/12/1,2012/1/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2012/10/1,2012/11/1,2012/12/1,2013/1/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2013/10/1,2013/11/1,2013/12/1,2014/1/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南宁,8871.926663,8309.44585,7801.398664,7238.917851,6631,7162,4347,5037,4380,4264,12558,7030,9964,8237,5971,7669,8277,9923,8316,12314,11772,11053,12855,12673,15305,14948,14777,14898,22752,21138,20473,23491,18476,20706,23107,21753,23186,21186,24443,26325,22693,22542,17073,21414,24815,26287,31836,31318,30124,31845,21302,25324,25900,23087,23114,21717,29831,33706,29165,29925,25482,30236,28786,28165,27167,29552,24178,25064,28721,29113,26445,25495,23353,23582,22502,27814,24850,23829,28569,23012,23354,23704,24588,22350,17654,19911,22768,19488,20444,15416,22114,21745,15970,18107,16333,19538,17434,16190,16322,16257,17459,15826,17458,14799,15356,14882,15767,15672,14752,15337,16517,18305,17584,19399,16380,16457,15188,16165,16741,16699,16860.26652,17066.34781,17252.48575,17458.56703,17658.00054,17864.08182,18063.51533,18269.59662,18475.6779,18675.11141,18881.19269,19080.6262
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南昌,7737.353353,8114.302627,8454.772939,8831.722213,9196.511833,10390,9677,8699,11459,11351,12018,10662,9361,12395,8588,8209,11487,8202,8017,9813,10690,10515,12774,11222,9551,9653,10636,12653,12679,13238,13453,15068,12896,12465,12555,14298,13210,14830,13429,13831,13257,14862,15194,14436,15850,15378,14395,15799,16004,16700,15158,17075,14422,15105,13174,14632,14398,13290,15353,16928,17340,16810,15335,16415,16620,17594,18551,21672,19476,14877,14413,14959,15416,17284,18218,18589,20369,19337,19854,18974,20302,18615,19066,18858,18987,19888,18384,18598,19233,17905,17254,16060,15651,16486,16511,18081,20896,16456,17980,20085,18725,17224,17147,19257,16693,19189,20150,24482,19593,17694,19884,19037,17935,17936,17453,17637,17290,18595,19107,17664,18623.1027,18813.72997,18985.90945,19176.53672,19361.01473,19551.642,19736.12001,19926.74728,20117.37455,20301.85256,20492.47983,20676.95784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海,18788.20795,18634.02565,18494.76422,18340.58193,18191.37326,18935,17077,17378,17139,18140,14838,15693,14614,14705,17533,16871,15269,16298,17717,17536,17751,17841,18622,18298,19441,20568,24638,22575,24220,21602,26044,22733,22240,23072,22503,20292,21158,25207,23794,24090,24284,27456,31273,38586,38192,37660,38016,40493,42166,40945,38212,40281,39648,35437,36674,38800,42522,39894.34755,40184.71672,40465.71915,40756.08833,41046.45751,41318.09319,41608.46237,41889.4648,34542,33403,31656.20362,29327.48888,27073.89396,24745.17921,22491.58429,20162.86954,33433,30841,31346,34156,32197,34206,32478,33329,33671,36190,36363,35517,36248,32411,39815.24017,40080.91761,40355.45096,40621.1284,40895.66175,41170.1951,41435.87254,41710.40589,41976.08333,42250.61668,42525.15003,42773.11564,43047.64899,43313.32643,43587.85978,43853.53722,44128.07057,44402.60393,44668.28136,44942.81472,45208.49215,45483.02551,45757.55886,46014.38038,46288.91374,46554.59117,46829.12453,47094.80196,47369.33532,47643.86867,47909.54611,48184.07946,48449.7569,48724.29025,48998.8236,49246.78921,49521.32256,49787,50061.53335,50327.21079,50601.74414,50876.27749,51141.95493,51416.48828,51682.16572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京,16904.40194,16525.14366,16182.58779,15803.3295,15436.30535,15057.04707,14997,14177,13514,13565,13429,12164,12419,12003,12553,13132,13212,14615,16484,16183,16732,17234,18472,19235,19756,17591,21526,24465,23517,25069,24108,25236,26029,25889,24583,30922,28618,27865,33335,32639,29115,33287,33518,33117,34035,38284,35678,40962,45642,43133,37877,38069,35888,40880,44430,43278,44386,44290,45155,42004,44479,43796,45219,44684,45529,47161,48572,46066,47327,48199,49444,48870,45906,53092,51049,49348,47956,48595,49457,49995,49280,47866,46181,45680,46182,47939,42513,39655,39633,42113,40984,41092,39623,42075,41100,41227,39934,40887,45209,44874,44697,42431,43842,46363,49009,47247,47368,51765,49730,49469,53435,46959,44762,49101,51907,51409,57195,57224,56292,52842,55600.49162,55805.83846,55991.31302,56196.65987,56395.38262,56600.72946,56799.45221,57004.79905,57210.14589,57408.86864,57614.21548,57812.93823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
